country_of_origin,region,variety,processing_method,color,harvest_year,altitude_mean_meters,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points
Mexico,veracruz,Mundo Novo,Washed / Wet,Green,2017,1300,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,83.92
Thailand,chiangrai,Catimor,Natural / Dry,Bluish-Green,2015,1350,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,83.92
Brazil,south of minas,Bourbon,Natural / Dry,Green,2016,934,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92
Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",Typica,Washed / Wet,Green,2015,1200,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92
Colombia,huila,NA,NA,Green,2016,442,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,83.92
Colombia,la plata,NA,NA,NA,2016,NA,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,83.92
Taiwan,台灣,NA,Natural / Dry,Blue-Green,2014,NA,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,83.92
Colombia,huila,NA,Washed / Wet,NA,2015,NA,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92
Colombia,huila,NA,Washed / Wet,None,2014,NA,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,83.92
Colombia,huila,Caturra,Washed / Wet,Green,2014,1775,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92
Taiwan,台中和平區,Typica,Washed / Wet,Green,2014,950,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92
Colombia,santander,Caturra,Natural / Dry,Green,2014,1550,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92
Mexico,xicotepec de juarez,Typica,Washed / Wet,Blue-Green,2012,900,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92
Mexico,la concordia,Typica,Washed / Wet,NA,2012,1500,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,83.92
Mexico,la yerbabuena,Typica,Washed / Wet,Green,2012,1400,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,83.92
Colombia,nariño,Caturra,Washed / Wet,Green,2017,2527,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,83.83
Colombia,huila,Caturra,NA,Green,2016,NA,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,83.83
Costa Rica,tarrazu,Caturra,Washed / Wet,Blue-Green,2015,1850,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,83.83
Guatemala,antigua,Bourbon,Washed / Wet,Green,2016,1500,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,83.83
Taiwan,台灣,NA,NA,NA,2016,1200,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75,83.83
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83
Taiwan,"dongshan dist., tainan city 臺南市東山區",Typica,Washed / Wet,Green,2014,525,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,83.83
Ethiopia,oromia,NA,Natural / Dry,Green,2014,1676.5,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,83.83
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,Green,2014/2015,1200,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83
Costa Rica,central valley,Catuai,Washed / Wet,Green,2013,1300,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,83.83
Guatemala,oriente,Bourbon,Washed / Wet,Green,2014,1219.2,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,83.83
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2013/2014,1260,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,83.83
Colombia,huila,Caturra,Washed / Wet,Green,2013,1750,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,83.83
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,83.83
Mexico,petatlan,Bourbon,Natural / Dry,Green,2012,1218,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,83.83
Mexico,"la concordia, chiapas",Pacas,Natural / Dry,NA,2012,1300,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,83.83
Brazil,carmo de minas,Yellow Bourbon,Semi-washed / Semi-pulped,Green,2011/2012,1250,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,83.83
Thailand,"doi chaang village, chiang rai, thialand",NA,NA,NA,2011,1499.9208,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,83.83
Thailand,NA,NA,NA,NA,2011,NA,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,83.83
Ethiopia,sidamo,NA,NA,NA,2010,NA,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,83.83
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,83.75
Colombia,huila,Caturra,Washed / Wet,Green,2017,442,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,83.75
Taiwan,"台南市東山區 (dongshan dist., tainan city)",Typica,Natural / Dry,Green,2016,750,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,83.75
Colombia,huila,NA,Washed / Wet,Green,2016,NA,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,83.75
Colombia,huila,Caturra,Natural / Dry,Green,2015/2016,442,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,83.75
Colombia,huila,Caturra,Washed / Wet,Green,2014,1775,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,83.75
Colombia,huila,Other,Washed / Wet,Green,2014,1550,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,83.75
Colombia,huila,Caturra,Washed / Wet,Blue-Green,2013,1750,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,83.75
Colombia,huila,Caturra,Washed / Wet,Green,2013,1750,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,83.75
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2013,NA,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,83.75
Mexico,"huazalingo, hidalgo",Caturra,Natural / Dry,None,2012,700,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,83.75
Guatemala,quetzaltenango,Caturra,Washed / Wet,Bluish-Green,2012,1300,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,83.75
Colombia,cauca,NA,NA,NA,January 2011,1600,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,83.75
Colombia,cundinamarca,NA,NA,NA,4T/10,1600,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,83.75
United States (Hawaii),kona,NA,NA,NA,NA,NA,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,83.75
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,83.67
Honduras,comayagua,Caturra,Washed / Wet,Green,2016,1400,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,83.67
Brazil,south of minas,Bourbon,Natural / Dry,Green,2016,934,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67
Taiwan,"leye, alishan township, chiayi county",Caturra,Natural / Dry,Bluish-Green,2015,1200,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67
Costa Rica,west valley,NA,NA,Blue-Green,NA,1350,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,83.67
Thailand,thailand,NA,Washed / Wet,Bluish-Green,2014,800,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67
Colombia,huila,Caturra,Washed / Wet,NA,2014/2015,1625,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67
Guatemala,huehuetenango,Bourbon,Washed / Wet,Green,2014,1356.6648,8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67
Colombia,huila supremo,Caturra,Washed / Wet,Green,2013,1750,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67
Colombia,huila,Caturra,Washed / Wet,Green,2013,1900,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,83.67
Colombia,huila,Caturra,Washed / Wet,Green,2012,1750,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67
Guatemala,oriente,Caturra,Natural / Dry,Green,2012,1450,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67
Guatemala,oriente,Bourbon,Washed / Wet,Green,2012,1310.64,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67
Mexico,xicotepec de juarez,Typica,Washed / Wet,Green,2012,1100,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67
Guatemala,"sacatepequez, guatemala",Caturra,Washed / Wet,Green,2012,1524,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67
United States (Hawaii),NA,NA,NA,NA,NA,NA,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,83.67
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58
Guatemala,huehuetenango,Caturra,Washed / Wet,Green,2016,1128.3696,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58
Colombia,huila,Caturra,Washed / Wet,Green,2016,NA,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58
Colombia,huila,Caturra,Washed / Wet,Green,2015,1775,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58
Mexico,"chiapas, jaltenango",Caturra,Washed / Wet,Green,2014,1200,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58
Ethiopia,yirgacheffe,Other,Washed / Wet,NA,2014,1850,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58
Colombia,cundinamarca,Caturra,Natural / Dry,Green,2014,1600,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58
Colombia,santander,Caturra,Washed / Wet,Green,2014,1550,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58
Colombia,santander,Caturra,Washed / Wet,NA,2014,1550,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58
Taiwan,taichung xinshe 台中市新社區,Typica,Other,Green,2013/2014,1000,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58
Colombia,huila,Caturra,Washed / Wet,Green,2012,1775,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58
Mexico,xalapa,Typica,Washed / Wet,NA,2012,1000,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58
Colombia,cundinamarca,Caturra,Natural / Dry,Green,2012,2136,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58
Brazil,south of minas,Catuai,Semi-washed / Semi-pulped,Blue-Green,2012,1100,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58
Colombia,cundinamarca,Caturra,Washed / Wet,Bluish-Green,2016,1799,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5
Taiwan,NA,NA,NA,Blue-Green,2016 / 2017,NA,7.58,7.58,7.17,7.17,7,7,10,10,10,10,83.5
Costa Rica,tarrazu,Caturra,Washed / Wet,Blue-Green,2015,1850,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5
Colombia,pitalito,Caturra,Natural / Dry,Green,2016,1000,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5
Guatemala,oriente,Bourbon,Washed / Wet,Bluish-Green,2016,1219.2,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5
Colombia,huila,Caturra,Washed / Wet,Green,2015,1775,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5
"Tanzania, United Republic Of",nkure- meru,Ruiru 11,Washed / Wet,Green,2015,1400,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5
Ethiopia,oromia,NA,Natural / Dry,NA,2014,1600,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5
Colombia,huila,NA,Washed / Wet,NA,2014,NA,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5
Colombia,huila,Caturra,Washed / Wet,Green,2014,1850,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5
Guatemala,atitlan,Caturra,Washed / Wet,Green,2013,1400,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5
Colombia,cundinamarca,Caturra,Washed / Wet,NA,2014,1650,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5
Honduras,comayagua,Caturra,Natural / Dry,Green,2014/2015,1350,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5
Colombia,huila,Caturra,Washed / Wet,Green,2013,1750,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5
Colombia,huila,Caturra,Washed / Wet,Green,2013,1750,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,83.5
Mexico,xalapa,Bourbon,Natural / Dry,Green,2012,1170,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5
Mexico,chilón,Typica,Semi-washed / Semi-pulped,Green,2012,940,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5
Mexico,totutla,Pacamara,Washed / Wet,Green,2012,1400,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5
Guatemala,atitlan,Caturra,Washed / Wet,Green,2012,1524,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5
Colombia,huila,Caturra,Washed / Wet,Green,2012,1775,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5
Guatemala,oriente,Bourbon,Washed / Wet,Green,2012,1402.08,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5
United States (Hawaii),NA,NA,NA,NA,NA,NA,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,83.5
Colombia,huila,Caturra,Washed / Wet,Green,2017 / 2018,439,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42
Guatemala,san marcos,Bourbon,Washed / Wet,Green,2017,1700,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42
Colombia,huila,Caturra,Washed / Wet,Green,2016,442,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42
Costa Rica,tarrazu,Caturra,Washed / Wet,Blue-Green,2016,1850,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42
Taiwan,NA,NA,NA,Blue-Green,2015,NA,7.67,7.67,7,7.08,7,7,10,10,10,10,83.42
Thailand,thailand,Catimor,Washed / Wet,Bluish-Green,2015,1200,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42
Colombia,huila,Caturra,Natural / Dry,Green,2015,442,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42
Brazil,vale da grama,Yellow Bourbon,Semi-washed / Semi-pulped,Green,2014,NA,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42
"Tanzania, United Republic Of",karatu northern,Bourbon,Washed / Wet,Green,2014,1600,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42
Colombia,huila,Caturra,Washed / Wet,Green,2014/2015,1813,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42
Guatemala,oriente,Bourbon,Natural / Dry,Green,2013,1219.2,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42
Guatemala,antigua,Caturra,Washed / Wet,Green,2014,1500,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Green,2012,NA,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42
Colombia,cundinamarca,Caturra,Washed / Wet,Green,2012,1450,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42
Colombia,huila,NA,NA,NA,NA,NA,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,83.42
United States (Hawaii),kona,NA,NA,NA,2010,NA,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,83.42
Thailand,NA,Peaberry,NA,NA,NA,NA,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,83.42
Mexico,nayarit,NA,NA,NA,January Through April,1050,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83.38
Colombia,huila,Caturra,Washed / Wet,NA,2016,1650,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33
Colombia,guayata,Caturra,Washed / Wet,Blue-Green,2016,NA,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33
Colombia,huila,Caturra,Washed / Wet,Green,2016,NA,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33
Brazil,south of minas,Catuai,Semi-washed / Semi-pulped,Green,2015/2016,1227,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33
Mexico,chiapas,Caturra,Washed / Wet,Green,2014,1200,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33
Colombia,santander,Caturra,Washed / Wet,Green,2015,1650,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33
"Tanzania, United Republic Of",arusha,Other,Semi-washed / Semi-pulped,Green,2014,1700,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33
Mexico,veracruz,Other,Washed / Wet,Green,2013,1100,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33
Costa Rica,san ramon,Caturra,Washed / Wet,Green,2014,1300,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2014,NA,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33
Costa Rica,central valley,Catuai,Washed / Wet,Green,2013,1200,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33
Colombia,pitalito,Caturra,Natural / Dry,Green,2013,1000,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2012,NA,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33
Colombia,huila,Caturra,Washed / Wet,Green,2012,1750,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33
United States (Hawaii),kona,NA,NA,NA,NA,NA,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,83.33
United States (Hawaii),NA,NA,NA,NA,NA,NA,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,83.33
Mexico,sierra madre occidental,Typica,Washed / Wet,Blue-Green,2017,1600,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25
Costa Rica,tarrazu,Catuai,Pulped natural / honey,Green,2016,1900,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25
Costa Rica,tarrazu,NA,Washed / Wet,NA,2015,NA,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25
Guatemala,nuevo oriente,Pacas,Washed / Wet,Green,2016,2100,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25
Brazil,campos altos - cerrado,NA,NA,Green,2016,NA,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25
Colombia,huila,Caturra,Natural / Dry,Green,2015/2016,442,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25
Mexico,cuarenteño,Typica,Natural / Dry,Bluish-Green,2015,1261,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25
Taiwan,natou county,Bourbon,Washed / Wet,Blue-Green,2015,1000,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25
Taiwan,南投國姓,Typica,Washed / Wet,Green,2014,800,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83.25
Colombia,eje cafetero,Caturra,Natural / Dry,Green,2014,1483,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25
Guatemala,antigua,Caturra,Washed / Wet,Green,2014,1500,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83.25
Colombia,huila,Caturra,Washed / Wet,Green,2013,1750,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25
Mexico,chiapas,Bourbon,Washed / Wet,Green,2013,1300,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.25
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2012,NA,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,83.25
Mexico,veracruz,Mundo Novo,Washed / Wet,Green,2012,NA,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25
Mexico,fortín de las flores,Caturra,Washed / Wet,Blue-Green,2012,1000,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83.25
Guatemala,oriente,Bourbon,Washed / Wet,Green,2012,1310.64,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,83.25
Brazil,grama valley,Yellow Bourbon,Semi-washed / Semi-pulped,Blue-Green,2012,1200,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25
Colombia,huila,Caturra,Washed / Wet,Green,2012,175,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25
Colombia,la plata,Caturra,Washed / Wet,Green,2012,1775,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25
Colombia,huila,NA,NA,NA,1T/2011,1700,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83.25
Colombia,cauca,NA,NA,NA,4t/2010,1880,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25
Colombia,cundinamarca,NA,NA,NA,4T/2010,1800,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17
Guatemala,oriente,Bourbon,Washed / Wet,Green,2017,1901,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17
"Tanzania, United Republic Of",moshi,Bourbon,Washed / Wet,Green,2016,168,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83.17
Guatemala,antigua,Caturra,Washed / Wet,Green,2016,1500,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83.17
Honduras,marcala,Catuai,Washed / Wet,Blue-Green,2016,1450,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17
Guatemala,antigua,Bourbon,Washed / Wet,Green,2015,1500,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83.17
Guatemala,oriente,Bourbon,Washed / Wet,Green,2015,1650,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83.17
Thailand,thailand,NA,Washed / Wet,Bluish-Green,2014,800,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83.17
"Tanzania, United Republic Of",mbinga,Other,Washed / Wet,Bluish-Green,2014,1653,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83.17
Colombia,huila,Caturra,Washed / Wet,NA,2014,1775,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17
Colombia,NA,NA,Washed / Wet,Green,2014,NA,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17
Honduras,san marcos,Catuai,Natural / Dry,Green,2013,1450,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17
Honduras,comayagua,Caturra,Natural / Dry,Green,2014/2015,1350,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17
Guatemala,san marcos,Catuai,Washed / Wet,Green,2014,1524,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,83.17
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2013,NA,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,83.17
"Tanzania, United Republic Of",kilimanjaro,Bourbon,Washed / Wet,Green,2014,1800,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,83.17
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,83.17
Mexico,chiapas,Typica,Washed / Wet,Green,2013,1500,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,83.17
Mexico,"tlanchinol, hidalgo",Typica,Washed / Wet,None,2012,532,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,83.17
Mexico,san bartolo tutotepec,Pacamara,Washed / Wet,None,2012,1089,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,83.17
Colombia,huila,Caturra,Washed / Wet,Green,2012,1775,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,83.17
Mexico,san isidro,Typica,Washed / Wet,Green,2012,700,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,83.17
Colombia,huila,Caturra,Washed / Wet,Blue-Green,2012,1750,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,83.17
Mexico,la concordia,Typica,Washed / Wet,NA,2012,1380,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,83.17
Brazil,south of minas,Mundo Novo,Natural / Dry,Green,2012,1000,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,83.17
Brazil,mogiana,Mundo Novo,Natural / Dry,Green,2012,950,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,83.17
Guatemala,oriente,Bourbon,Washed / Wet,Green,2012,1402.08,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,83.17
Brazil,south of minas,Mundo Novo,Semi-washed / Semi-pulped,Blue-Green,2011,1000,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,83.17
Brazil,south of minas,NA,NA,NA,2011,900,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,83.17
Ethiopia,limu,NA,NA,NA,August to December,1850,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,83.17
